Java HotSpot(TM) 64-Bit Server VM (25.291-b10) for bsd-amd64 JRE (1.8.0_291-b10), built on Apr  8 2021 02:17:24 by "java_re" with gcc 4.2.1 Compatible Apple LLVM 11.0.0 (clang-1100.0.33.17)
Memory: 4k page, physical 16777216k(107496k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=314572800 -XX:MaxHeapSize=314572800 -XX:MaxNewSize=209715200 -XX:MaxTenuringThreshold=15 -XX:NewSize=209715200 -XX:OldPLABSize=16 -XX:PretenureSizeThreshold=20971520 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=2 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
137.682: [GC (Allocation Failure) 137.682: [ParNew: 104404K->20480K(153600K), 0.0104381 secs] 105359K->21434K(256000K), 0.0107126 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
138.704: [GC (Allocation Failure) 138.704: [ParNew: 114644K->30720K(153600K), 0.0214365 secs] 115599K->31674K(256000K), 0.0216016 secs] [Times: user=0.05 sys=0.02, real=0.02 secs] 
140.763: [GC (Allocation Failure) 140.763: [ParNew: 124884K->0K(153600K), 0.0010950 secs] 125839K->954K(256000K), 0.0012652 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
141.784: [GC (Allocation Failure) 141.784: [ParNew: 94164K->10240K(153600K), 0.0015950 secs] 95119K->11194K(256000K), 0.0017411 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
142.796: [GC (Allocation Failure) 142.796: [ParNew: 104404K->10240K(153600K), 0.0016188 secs] 105359K->11194K(256000K), 0.0017948 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
143.806: [GC (Allocation Failure) 143.806: [ParNew: 104404K->10240K(153600K), 0.0015885 secs] 105359K->11194K(256000K), 0.0017271 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
144.815: [GC (Allocation Failure) 144.816: [ParNew: 104404K->0K(153600K), 0.0012620 secs] 105359K->954K(256000K), 0.0018024 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
145.824: [GC (Allocation Failure) 145.824: [ParNew: 94164K->10240K(153600K), 0.0011071 secs] 95119K->11194K(256000K), 0.0012403 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
146.836: [GC (Allocation Failure) 146.836: [ParNew: 104404K->20480K(153600K), 0.0023062 secs] 105359K->21434K(256000K), 0.0024395 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
147.849: [GC (Allocation Failure) 147.849: [ParNew: 114644K->30720K(153600K), 0.0034182 secs] 115599K->31674K(256000K), 0.0035870 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
